,type,districttype,tags,title,text
0,plan,house,"up,upper peninsula,marquette,lake superior,lake michigan",UP MI House,"UP map for MI House, recognizing Lake Superior and Lake Michigan COIs, keeping Marquette County whole, and making the Lake Superior district with Marquette closer to even for Dem/Rep (still leans Rep, but less so)."
1,plan,house,upper peninsula,U.P. Districts Map,This is the plan submitted by a friend. We’ve talked about it and  I’d like to express my support for it. I forgot to include the link for this with my original comments I submitted for the meeting in Marquette. Please consider this as an addendum to my previously submitted comments.
2,plan,ush,"county lines,13 districts,lost a district",Example: 13-District Plan,"Now that we're officially down a district, here's a new plan! I've tried to respect county lines."
3,plan,ush,,New Congressional map,Would like to see Dan Kildee pick up most of Saginaw county and all of Genesee county. I believe he would represent this area well. 
4,plan,ush,,KENT COUNTY-3RD CONGRESSIONAL DISTRICT,"JUSTIFICATION FOR KENT COUNTY MICHIGAN IN ITS ENTIRETY BEING THE 3RD CONGRESSIONAL DISTRICT  This paper supports making Kent County Michigan in its entirety the 3rd congressional district.  Following are the stated criteria for redistricting in priority order:  (a)	Districts shall be of equal population as mandated by the United States constitution, and shall comply with the voting rights act and other federal laws.  (b)	Districts shall be geographically contiguous. Island areas are considered to be contiguous by land to the county of which they are a part.  (c)	Districts shall reflect the state's diverse population and communities of interest. Communities of interest may include, but shall not be limited to, populations that share cultural or historical characteristics or economic interests. Communities of interest do not include relationships with political parties, incumbents, or political candidates.  (d)	Districts shall not provide a disproportionate advantage to any political party. A disproportionate advantage to a political party shall be determined using accepted measures of partisan fairness.  (e)	Districts shall not favor or disfavor an incumbent elected official or a candidate.  (f)	Districts shall reflect consideration of county, city, and township boundaries.  (g)	Districts shall be reasonably compact.  Kent county especially meets the important “Communities of Interest” criteria for redistricting by the Commission.  Kent County contains the city of Grand Rapids and the suburbs/cities Grandville, Kentwood, Walker, and Wyoming.   Kent County, Michigan's estimated population is 660,560 according to the most recent United States census data.  This is very close to the specified size of a congressional district.  2020 average size target for congressional district nationwide is 775,726.  Michigan population (9,966,555 in 2020 census) divided by 13 districts (one less than current as planned) would dictate an average of 766,658 people per district.  If necessary, borders of the district could be expanded beyond Kent county in any direction to increase population nearer to the 776,658 target.  Suggest that Ionia county (population 64,697) which includes the Grand River corridor could be added as it has the most in common with Kent County.  The county has interconnecting transit services, school systems, freeways and share many community services.  These cities share a water system, sewer system, county services and access to the Grand River and its parks.    The population diversity compares favorably with the state average.  The county is the center of eleven higher education institutions and satellites for the west Michigan region.  Major corporate businesses are centered in Kent county and draw employees from all these communities and thus support the commerce, services and small businesses of these communities.   This area would provide for an approximately 50% split between political party voters.   Currently, these suburbs/cities (Grandville, Kentwood, Walker, and Wyoming) that are in Kent county and contiguous to Grand Rapids are not in the 3rd congressional district.  Instead, population is drawn from the city of Greenville 45 miles to the north in Montcalm county, all the way south to the city of Battle Creek 65 miles away and rural areas in between.  Neither of these areas or the current congressional district rural areas outside the county share any communities of interest with Kent County. "
5,plan,ush,"west michigan,holland,zeeland,grand rapids,lakeshore ",Jakob’s West Michigan Plan,"This represents about what I’d consider my “west Michigan community.” What I’ve shaded roughly encompasses the area I’d say us west Michiganders frequently commute to. When I think of west MI, this is what I think of. People within these bounds often travel for work or business; it’s often people from the lakeshore go to Grand Rapids and vice versa. This is the area that shares the same local news, where we travel to see family in, live, work, eat. It’s not exactly defined- some parts such as Plainfield or anything North of Muskegon (I’d say anything north would not be west Mi) could be trimmed out perhaps. The city of Hamilton could perhaps be added in. Again, it’s not crafted exactly down to the street, but when I think of west MI, this is my community I think of. (this map is for a federal congressional district)"
6,plan,ush,,MI Congressional Districts,I drew this plan completely on trying to get the populations as even as possible and from what I know about related counties.
7,plan,senate,,State Senate Districts,"I drew this map by trying to keep the populations as equal as possible, and keeping related areas together"
8,plan,house,,State House districts,"I made this map by trying to keep the populations as equal as possible, with a focus of keeping like cities/counties together."
9,plan,house,,51 State District plan ,I believe that those that live within these communities see eye to eye on most issues and value the gift of loyalty and respect each other. 
10,plan,ush,,Geography and Population Map,"This is a fascinating adventure in mapping.  I think there is some more room for competitive districts.  It would be great to see an equal number of solid democratic and solid republican districts and then as many toss-up districts as possible.  Naturally, metro areas are more democratic and rural are more republican, but those suburban districts should be very competitive. I tried to be geographically balanced as much as possible.  But it's hard without city boundaries.  Enjoy the effort.  I hope it's fair and competitive with considerations for distinct communities.  Good luck!"
11,plan,ush,,By Geography...,
