,id,link,type,title,text,area_text,area_name,num_areas,city
0,160,https://districtr.org/COI/12742,coi,University City 3rd Ward,"Housing Values, bringing resources to traditionally underserved community and reducing segregation","This is the neighborhoods generally north of Olive Blvd in University City - the dividing line of Olive Boulevard has traditionally segregated between the black neighborhoods and the white neighborhoods, and between the lower socioeconomic classes and the more affluent. In particular, housing values drop sharply when you go north of Olive even for homes very similar to those south of Olive. The 3rd Ward Community shares an interest in bringing resources to invest in this part of U City to increase housing values, preserve generational wealth, and increase opportunities for working families to live in mixed-race and socioeconomically diverse neighborhood.",University City 3rd Ward,1,St. Louis
1,152,https://districtr.org/COI/12745,coi,Webster Groves Area,"School District (most), shopping districts, Webster University.This community is currently split between Congressional Districts; the residents to the north (currently in CD-1) interact on a daily basis -school, shopping, community development - with other residents in CD-2",,Community 1,1,Webster Groves
2,156,https://districtr.org/COI/13234,coi,Romanelli West,"Single-family homes, multigenerational","Romanelli West is outlined by these streets:
N: 64th Terrace
S: Gregory/71st
E: Ward Parkway
W: State Line Road
One-family homes. 
Multigenerational, a mix of single owners, families and older owners.
",Romanelli West ,1,Kansas City
3,148,https://districtr.org/COI/13234,coi,Romanelli West,"Single-family homes, multigenerational","Romanelli West is outlined by these streets:
N: 64th Terrace
S: Gregory/71st
E: Ward Parkway
W: State Line Road
One-family homes. 
Multigenerational, a mix of single owners, families and older owners.
",Romanelli West ,1,Kansas City
4,143,https://districtr.org/COI/16818,coi,Westside Neighborhood,"Gentrification, family issues, autonomy from Downtown KC. Our neighborhood is truly a residential area, but tends to be over-taken by the Crossroads and Downtown areas, which causes many issues amongst residents and city officials.","This community sits just West of Downtown Kansas City, and has many diverse residents, including Hispanic, Black and White citizens.",Westside Neighborhood- KCMO,1,Kansas City
6,150,https://districtr.org/COI/17227,coi,west & south count,Same School District,,AAPI west & south county,1,St. Louis
7,145,https://districtr.org/COI/17993,coi,Mark Twain Neighborhood,"parks, walkability, green space, nature, pedestrian safety, sidewalks, streetlights, noise, car theft. The Greenways trail system that runs through this neighborhood along South Creek is amazing. It is bicycle and walk-friendly and stretches from East to West Springfield. It's important to keep this trail maintained and safe, as many people and families use this trail for recreational activities.","Beautiful Greenways trails, Nathaniel Greene Park/Close Memorial Garden, walk and bicycle-friendly along Greenways trails in the neighborhood, Has a registered neighborhood association that is active",Mark Twain Neighborhood,1,Springfield
8,157,https://districtr.org/COI/17998,coi,Rental area in Springfield,"Residents who live here live in small, older homes, or in an affordable housing unit with multiple apartments.  Many of the residents are physically or mental handicapped.",This area contains small rental older homes and an affordable housing unit with approximately 35 apartments.  Many of the residents are physically handicapped .,Group of renters,1,Springfield
9,159,https://districtr.org/COI/18001,coi,Spanish Lake,Distinct unincorporated community to preserve whole.,A much-maligned corner of St Louis County,Spanish Lake,1,Florissant
10,144,https://districtr.org/COI/18115,coi,Downtown Loft District,"high density, many renters, business district",Downtown neighborhood where most residential property is high rise buildings,Downtown Loft District,1,St Louis
11,146,https://districtr.org/COI/20551,coi,Near Southwest/Central St. Louis County,"housing type, suburban but impacted by central city, some economic similarity, cultural similarity. Just my opinion based on lived experience. Trying to keep school districts and municipalities intact points up the absurdity of some boundaries.","Suburbs related by housing density, school districts to the extent possible, and some degree of economic and cultural similarity.",Near Southwest/Central St. Louis County,1,St. Louis
12,142,https://districtr.org/COI/21374,coi,"Webster Groves, MO",A community,"People that live in Webster Groves and parts of Shrewsbury, Rock Hill and Glendale.",Webster Groves,1,St. Louis
13,155,https://districtr.org/COI/21375,coi,Webster Groves School District,Families lives in Webster Groves School District,,Community 1,1,Webster Groves
14,161,https://districtr.org/COI/21376,coi,Historic North Webster,This neighborhood represents the historically black community of Webster Groves and Rock Hill.,,Community 1,1,Webster Groves
15,147,https://districtr.org/COI/21378,coi,Inner TGP,"A mix of older deeply religious people and younger, very progressive people. Varies house by house. Mostly liberal, mostly on the wealthier side for South City",Wealthier section bordering tower grove park,Inner TGP,1,St. Louis
16,154,https://districtr.org/COI/21380,coi,"Student Population Kirksville, MO","These districts primarily consist of students from AT Still and Truman State University. This gives them common interests in regards to renter rights, student loan policy, and other issues concerning student needs.","These areas of Kirksville, MO are primarily rental properties that house 
AT Still University and Truman 
State University Students. ",Student Housing- ATSU and Truman State University,1,Kirksville
17,151,https://districtr.org/COI/21381,coi,Jefferson Township,"Many share schools, community events, sports interests, literate generally",,Jefferson Township StLCO,1,Webster Groves
18,153,https://districtr.org/COI/21382,coi,Webster Groves/Rock Hill/Shrewsbury - WG,"same school district, same shopping, areas of worship, schools. This area has been split up, sometimes racially, in the past between CDs and state and senate district",,Community 1,1,Webster Groves
19,162,https://districtr.org/COI/21385,coi,City of Webster Groves,Common municipality,Rough outline of municipality of Webster Groves.,City of Webster Groves,1,Webster Groves
20,138,https://districtr.org/COI/21972,coi,Kirkwood Webster Groves,The School Districts are very involved with each other.,Kirkwood & Webster Groves School Districts,Community 1,1,Kirkwood
21,134,https://districtr.org/COI/22008,coi,Fulton area,Largest employer in the area is the state prison/hospital. many folks in surrounding towns drive to fulton to work there.,Largest employer in the area is the Fulton prison & state hospital. Many people drive from outside of town to work there.,Fulton Area,1,Kansas City
22,163,https://districtr.org/COI/22525,coi,Palmyra Community,"Palmyra is a strong and vibrant rural community largely centered around the local public schools. Many residents work in farming-related jobs, light manufacturing,  the service sector, health care, and education. ","Palmyra is a strong and vibrant rural community largely centered around the local public schools. Many residents work in farming-related jobs, light manufacturing,  the service sector, health care, and education. ",Palmyra Community,1,Lee's Summit
23,141,https://districtr.org/COI/22781,coi,North Columbia,"Working families in northern Columbia, many with kids who attend Derby Ridge and Blue Ridge schools ","Working families in northern Columbia, many with kids who attend Derby Ridge and Blue Ridge schools ",North Columbia ,1,Columbia
