,id,link,type,pseudo_coi,title,text,area_text,area_name,num_areas,city
0,15,https://districtr.org/plan/23486,plan,,County Lines,An 8-district plan drawn with an emphasis on county lines,,,,Racine
1,33,https://districtr.org/plan/24080,plan,,Wauwatosa/Milwaukee,"I live in Wauwatosa near the Village.  We are a loving community, with good schools, weekly concerts at Hart Park, active citizens who walk, hike, bike, play tennis at Hart Park.  I am very concerned about the outcome of the 2020 Congressional vote.  Far and wide around my neighborhood, people had signs up for Tom Palzewicz for Congress.  I literally did not see a single sign for Scott Fitzgerald, yet he won.  Our state has been gerrymandered since 2011 because of former Governor Scott Walker.  We need to have fair maps that represent our state.",,,,Wauwatosa
2,36,https://districtr.org/plan/24160,plan,,Population and seat balance,1st attempt,,,,Monona
3,37,https://districtr.org/plan/24207,plan,,Population centers have been unpacked,"Madison and Milwaukee are not packed in this map, giving them a reasonable weight in election outcomes",,,,Monona
4,40,https://districtr.org/plan/24294,plan,,WI Congressional Districts Methodology,"Since this plan still uses old census data, the methodology used to create it is more important than the result. However, the  population deviation result was good, 0.37%. In this methodology, high population counties in Wisconsin were ignored until all the low population counties were selected in their entirety. The result was that only six counties were split: 2 counties in Milwaukee Metro; 1 in Madison Metro; 2 in La Crosse metro; and 1 in Green Bay metro. Resulting county border towns between Congressional Districts were united by their municipal borders and merged with the ""majority"" county. That maneuver in the methodology pushed all the difficult decisions to the remaining metropolitan areas that needed to be split in order to balance populations. Each metropolitan area presented different challenges. Milwaukee area needed support for the large minority population. Madison area (and municipality) needed to be split in order to create compact districts in the southern region. Both LaCrosse and Green Bay areas were split primarily to balance populations. When counties were split, both municipalities and school districts were respected as much as possible, with municipalities respected more than school districts. All of these county splits created difficult compromises that had to be considered. The next challenge is to create a methodology to create a State Senate map that minimizes the number of people who get shifted from a Congressional District in this map to a Senate District and Assembly District collection that they don't share with many other of their Congressional District voter colleagues!",,,,Helenville
5,69,https://districtr.org/plan/25056,plan,,Mark Peters' Congressional District Plan,much more competitive districts,,,,Wauwatosa
6,76,https://districtr.org/plan/25143,plan,,WI Senate Districts Methodology,"This ""WI Senate Districts Methodology"" plan inherited the eight Congressional District outlines from the previously posted ""WI Congressional Districts Methodology"": https://portal.wisconsin-mapping.org/submission/p40    In order to accommodate the 33 state senate districts in Wisconsin within the eight state congressional districts, a specific strategy was used. The extra state senate district was placed directly over the State Capital in Madison. Then, the population used for the extra district inserted into Madison was used to distribute eight, equal segments of population into the remaining outlines of the original eight districts, making eight regions of about 701,000 each. This required minor adjustments in the borders of each of the eight districts significant focus on the priorities of county lines, municipal lines, and some school districts. Finally, each of the eight new regions was exactly filled with four new Senate Districts. The result was that the majority of Congressional District voters would experience no mismatch between the one to one relationship of a Federal House Representative and the four apportioned State Senators. Of course, the methodology for assigning three State Senate Assembly Districts to each State Senate District would proceed, as it always has, with attention to County and Municipal borders as well as other important local borders. These results also demonstrate a respectable 0.8% Senate District population deviation measure and special support for minorities in Milwaukee County.",,,,Helenville
7,77,https://districtr.org/plan/25148,plan,,Wisconsin Fair Maps,A more fair and balanced Wisconsin,,,,Milwaukee
8,78,https://districtr.org/plan/25158,plan,True,Lake Mills economic zone,"These are communities where there are common connections of shopping, businesses and recreation.",,,1,
9,94,https://districtr.org/plan/25388,plan,,Level Playing Field,"Note: this is a quick and imperfect map to illustrate my position. The Gerrymandering in Wisconsin has caused a great deal of issues and misrepresentation. The Republican party has gerrymandered so many districts that they have maintained control of the legislature for years. I feel that, as my map demonstrates, it is possible to create equitable maps by drawing concentric rings moving outwards from cities, and then conjoining rural areas into their own subset district. Due to time constraints this map is far from perfect, but it does illustrate that using this method can achieve relatively even distribution among both political parties and among various ethnic minorities. ",,,,Eau Claire 
10,102,https://districtr.org/plan/25504,plan,,DistrictSolutions.net Map of 8 Cong Dist,"This fair map for Wisconsin's 8 congressional districts was created by our FastMap(TM) computer algorithm that used the 2010 census data and the election data from the 2016 U.S. presidential election as input.  Each party is expected to win 4 districts, several districts are competitive, and the districts are compact.  Minor adjustments will be needed once the 2020 census data becomes available.",,,,Milwaukee
11,114,https://districtr.org/plan/25657,plan,,Wisconsin Congressional Districts,"Creates regions such as Fox Valley, MKE, MKE Suburbs, Industrial South, Madison/Lower Driftless, Upper Driftless, and Northwoods/Central Sands. Creates 3 realtively competitive districts. ",,,,Madison
12,117,https://districtr.org/plan/25674,plan,,"Wisc., Congressional Districts","I tried to keep communities of interest together, while balancing population among districts.",,,,Dane
13,122,https://districtr.org/plan/25797,plan,,Different way to set federal districts ,,,,,Monona
14,192,https://districtr.org/plan/26133,plan,,The Prairie Cafe Team 1,"An effort was made to group common interests together, like the Lake Michigan shoreline, the Fox River Valley, Central Sands area, the Driftless area and northern Wisconsin",,,,Dane County
15,1224,https://districtr.org/plan/26477,plan,,County-preserving CD Maps,"The methodology behind creating these eight congressional districts was as follows. CD 1, Congressional District 1 (this is the Districtr numbering), starts in the very southeast corner of the state, preserving Kenosha and Racine Counties, moving westward through Walworth County up to and including Rock County; finally that same congressional district then goes north up the Rock River into Jefferson County.   In creating a CD, the choice of blocks to color is determined by the following priority ranking:  1.	Preserving county lines as far as possible in keeping close to the target CD population; if a county needs to be split, go to the next level 2. 2.	Preserving school district lines as long as possible in keeping close to the target CD population; if a school district needs to be split, keep, if possible, the main municipality associated with the to-be-split school district in the CD being created.   There was no consideration of partisan evaluation made in this process. The most ‘natural’ CD created, CD 1, ended up being one of the more ‘competitive’ districts (with CDs 7 and 8).  This ‘more natural’ CD 1 containing Rock County would go up the Rock River so that it includes Jefferson County following the Rock River upstream. The valley of the Rock River has shallow sand and gravel wells, distributed throughout the basin. Most of these wells are shallower and the majority are domestic with the exception of high capacity wells in the alluvial deposits in Rock County. The shallow wells are susceptible to contamination. Many subdivisions have histories of nitrate and other human-caused contamination. There are also 4 pipelines traversing the CD 1, two carrying tar sands from Canada, going under the Rock River near Fort Atkinson. Lake Koshkonong, a large relatively shallow lake, is just downstream, with surrounding wetlands. Fort Atkinson, Janesville, and Beloit are cities that would be affected by an oil spill by these pipelines. This congressional district is united by its concern for ecological health in the area.  ",,,,Rock County
16,217,https://districtr.org/plan/26645,plan,,Wisco U. S. Representative Districts,Contiguous counties,,,,Middleton
17,291,https://districtr.org/plan/27155,plan,,Prairie Congressional Districts Revised,"Thanks to the Prairie Cafe Team, this Congressional Districts map begins from a good foundation--  https://portal.wisconsin-mapping.org/submission/p192  --Margaret and team achieved an excellent population balance, compact districts and support for minorities in Milwaukee County. My one concern was the number of whole counties disrupted to achieve the great results. This map is an attempt to achieve similar results, but reduce the number of whole counties distrupted. In addition, great attention was paid to county border communities in order to keep them whole. Finally, the number of municipality borders disrupted has also been kept to a minimum. Some attention was also paid to maintaining school districts, but most of those issues will need to be resolved by neighboring counties and neighboring townships.",,,,Helenville
18,286,https://districtr.org/plan/27182,plan,True,W WI District,,,,1,"Rolling Ground, Crawford County"
19,287,https://districtr.org/plan/27183,plan,True,Senate District,,,,1,"Rolling Ground, Crawford County"
20,314,https://districtr.org/plan/27582,plan,,Sue and Gracie's MKE Plan,We focused on bringing community of interest neighborhoods together in the city of Milwaukee as well as in the immediate suburbs. Our focus was on creating more contiguous legislative districts.,,,,Milwaukee
21,353,https://districtr.org/plan/27901,plan,True,Robin Vos' new district,Robin Vos' new district.,,,1,
22,354,https://districtr.org/plan/27904,plan,True,22nd Senate District,,,,1,
23,356,https://districtr.org/plan/27914,plan,True,1st CD,,,,1,
24,357,https://districtr.org/plan/27919,plan,True,4th CD,,,,1,
25,358,https://districtr.org/plan/27921,plan,True,21st Senate District,,,,1,
26,359,https://districtr.org/plan/27925,plan,True,2nd CD,,,,1,Union Grove
27,362,https://districtr.org/plan/27937,plan,True,5th CD,,,,1,Union Grove
28,363,https://districtr.org/plan/27938,plan,True,6rh CD,,,,1,Union Grove
29,364,https://districtr.org/plan/27939,plan,True,6th CD,,,,1,Union Grove
30,365,https://districtr.org/plan/27943,plan,True,8th CD,,,,1,Union Grove
31,366,https://districtr.org/plan/27945,plan,True,3rd CD,,,,1,Union Grove
32,367,https://districtr.org/plan/27953,plan,True,7th CD,,,,1,Union Grove
33,462,https://districtr.org/plan/28001,plan,,SouthCentral Senate Map Methodology,"This State Senate Map Methodology demonstrates how to take a WI Congressional District and preserve the majority of the existing boundaries when subdividing it into State Senate Districts. This map duplicates the SouthCentral Congresssional District from plan ID p291 ""Prairie Congressional Districts Revised."" This methodology also references plan ID p76 ""WI Senate Districts Methodology."" As in p76, a State Senate District was created centered on the WI State Capitol in Madison. This new Madison District in the west portion of the Congressional District ""pushed"" the ""borders"" of the remaining four new Senate Districts to the east, in the region of Oconomowoc to New Berlin. In this region, 1/6 of a Senate District population was removed from each of the three eastern Congressional Districts described in plan ID p291. The next step will be to create four State Senate districts in each of these remaining eastern Congressional Districts. In the final State Senate Methology discussion, the four western Congressional Districts described in p291 will be converted into State Senate Districts using the same Methodology.",,,,Helenville
34,1057,https://districtr.org/plan/28179,plan,,WI State Senate Districts Template,"This map is my final mapping methodology contribution to other Wisconsin mappers. This map is designed for mappers who find the foundation WI Congressional Districts map proposal I used acceptable for State Senate District mapping training (see plan ID p291 ""Prairie Congressional Districts Revised"").   The voters’ best practice theory is that the three State Assembly representatives from a single Wisconsin Senate District should work with the single State Senator from that district. Likewise, the four State Senators from a single Wisconsin Congressional District should work with the single Federal House Representative from that district. Unfortunately at this time, Wisconsin doesn’t support this best practice at this time. In Wisconsin, we have 33 State Senators and only eight Federal House Representatives. This is one more Senator than is required to make this kind of direct mapping possible between four WI State Senate Districts and one WI Congressional District. Perhaps by 2030, this will be fixed. However, it is possible to create this working representation in most WI Congressional Districts now. For the compromises necessary, see plan ID p76 ""WI Senate Districts Methodology"" and plan ID p462 ""SouthCentral Senate Map Methodology.""  By saving this map in DistrictR, you can experiment with creating four WI State Senate Districts in your proposed WI Congressional District. Note that I’ve created eight, sample State Senate Districts that fit into two, modified Congressional Districts. These two Congressional Districts, as displayed in plan ID p291 are located in the WI Southwest/Central Region and in the WI South/Central Region. The other six modified Congressional Districts have no sample State Senate Districts. For these, just paint in your own sample State Senate Districts by following the borders of your modified Congressional District. As in plan ID p76 and in plan ID p462, the “extra,” 33rd State Senate District is placed directly over the State Capitol in Madison. Finally, if you live in one of the modified Congressional Districts in which I’ve placed sample Senate Districts, feel very free to paint over the sample State Senate Districts I’ve designed. ",,,,Helenville
35,1092,https://districtr.org/plan/28276,plan,,Three State Assembly Districts,"This map illustrates my preferred WI State Assembly District (colored yellow), which along with two other Assembly Districts (colored two shades of green), is located within my preferred WI State Senate District, which in turn is located within my preferred WI Congressional District (colored blue). Both my preferred SouthCentral Congressional District and State Senate District are taken from the ""WI State Senate Districts Template"" (plan ID p1057), which was created from several previous methodology maps (see plan ID p1057). My preferred State Senate District follows the course of the Rock River from the City of Jefferson to the Illinois State Line.",,,,Helenville
36,1146,https://districtr.org/plan/28412,plan,True,North Shore State Senate District ,I live in Whitefish Bay.  My plan is for a proposed state senate district for the North Shore.  I feel that it is politically balanced and gives a candidate from either party a fair chance .  It would create a level playing field.,,,1,Whitefish Bay
37,1175,https://districtr.org/plan/28643,plan,,"MKE cracked, counties kept mostly whole",,,,,Monona
38,1183,https://districtr.org/plan/28702,plan,,Central Midwestern Wisconsin ,Continuity in area & interests,,,,Hudson/St Croix
39,1341,https://districtr.org/plan/28772,plan,,Jess's WI plan,I tried to keep counties whole as much as possible and keep district boundaries as tight/regional as possible.,,,,Mount Horeb
40,1219,https://districtr.org/plan/28937,plan,,WI State Senate District Temp 2,"State Senate District map coincides with maps submitted under Prairie Congressional Districts.  Respect for keeping communities intact, consolidating interest areas such as water sheds, municipality boundaries, etc. were honored.  These maps are balanced for population and other guidelines for creating fair maps.",,,,Whitewater
41,1220,https://districtr.org/plan/28938,plan,,WI State Senate Districts Template 1,"The author of this State Senate Districts map has considered most of my criteria building a map that is comprehensive and inclusive. This map keeps all my COI concerns intact; Whitewater City and Lake Area are together, considering the water shed being kept together, voting balance and racial balance all are considered. I feel it is of paramount importance to have my representation in this compact areas without the gouging and twists and turns I currently encounter with my representation. In this map, I have all my COI concerns fully met and I applaud this author for being so considerate of each community across this state. I want the PMC to consider this map as a template to build the future State Senate new map.",,,,Whitewater
42,1216,https://districtr.org/plan/28943,plan,,Prairie Congressional Districts Rev 1,"Congressional Plan meets all mapping criteria and results in fair maps across the state districts.  It also keeps communities intact with the exception of Madison and Milwaukee.  This map also serves to respect of other key criteria such as watershed areas, primary shopping/services areas, as well as commonality of community interests.  Compared to the current severely gerrymandered maps put in place in 2012, these congressional districts accomplish key objectives to achieve fair maps in Wisconsin.",,,,Whitewater
43,1217,https://districtr.org/plan/28944,plan,,Prairie Congressional Districts Rev 2,"I am supporting this state map to have the PMC look at the criteria used as a model plan. For this map, I note that my COI, Whitewater is rejoined with continuous representation to both the city and lake area. In addition, I note that other areas of the state are joined into larger COI all within their normal living situations; i.e. Franklin & Oak Creek, Brookfield & Pewaukee, Port Wing & all of Northern WI, WI Rapids & Eau Claire, etc. This map has also taken into consideration the shared water tables which are paramount to each COI and legislative representation. Keeping the large rural areas together and within the county boundaries is also paramount to the agricultural communities and COI. The author of this map has taken into account the racial balance and as a side effect, keeps a balance between GOP and Dems. The CD boundaries are compact without the current gouging with twists and turns to achieve the current imbalance across this state. This map meets all of my COI criteria and wishes for the new fair mapping going forward",,,,Whitewater
44,1218,https://districtr.org/plan/28949,plan,,Compact Congressional Districts,"These district lines respect county lines as best as possible and keeps communities of interests together including school districts, major watersheds, and journalism media markets. ",,,,East Troy
45,1241,https://districtr.org/plan/29137,plan,True,"Shawano County whole, and Keshena",Trying to keep Shawano County intact but adding in the surrounding little communities and the reservations closest to us that come to Shawano County.,,,1,Shawano County
46,1252,https://districtr.org/plan/29210,plan,,Simplified Dane County,Emphasizes compactness and simplicity within the limits of the mapping program.,,,,Dane County
47,1273,https://districtr.org/plan/29390,plan,True,"Deforest, Windsor, & Sun Prairie united","My name is Mike DeRubis, from DeForest WI, just north of Madison.  Windsor is the next town over, and we share a lot in common.  The school district and fire protection cover both DeForest and  Windsor, yet our current WI State Assembly (37) and WI State Senate (13) districts have these town separated.  The current districts extend north to Columbus and east to Watertown, communities which we have little in common with.  Most folks who live in DeForest and Windsor shop, dine, etc. in Sun Prairie which is just a few miles east, but is in a different district.  The map I am submitting would unite these 3 communities.  The population amount and partisan balance are ideal, and this would better represent us.",,,1,DeForest
48,1275,https://districtr.org/plan/29393,plan,,Competitive Congressional Districts,"The plan that I have created is already more competitive than our current model. 2 Districts favor the democrats, while three favor republicans. In none of these five districts is the percent of the electorate over 70%, especially as you combine Madison with more eastern parts of the state, and split Milwaukee to the North and South, so all of Milwaukee is not clumped together.  Three districts are split 50/50. Its time to draw some better congressional districts and stop gerrymandering the state. Thank you",,,,Dane County
49,1313,https://districtr.org/plan/29793,plan,True,Southern Dane/ Northern Rock Counties,"This district includes the city of Stoughton and several villages including Oregon, Evansville and Brooklyn. Most of the school districts for each of these municipalities are contained in this district. Stoughton and Oregon are shopping, dining and entertainment destinations in this district. Each community is distinctive and connected with one another.",,,1,
50,1422,https://districtr.org/plan/30350,plan,,SouthCentral Assembly Maps,"This plan suggests an alternative to the p1092 ""Three Assembly Districts"" that allows the Whitewater Lake community to be unified into one Assembly District.",,,,Helenville
51,1488,https://districtr.org/plan/30612,plan,,Three Assembly Districts in One SD,"The union of the three assembly districts created in this map constitute exactly one state senate district.   This state senate district in turn is contained in the CD 1 created in p1224, “County-preserving CD Maps” (with the other seven congressional districts).  Please see this plan for an explanation of the methodology used.    The goal here was to build a single state senate district in the aforementioned CD 1, using the WI Constitution’s requirement of 3 assembly districts being wholly contained in a single state senate district. There would be 3 other senate districts within this CD 1. The three assembly districts here were created primarily in Rock County, two of them around the largest two municipalities of Janesville and Beloit. The third assembly district encompassed the surrounding rural areas of Rock County as well as the upriver part of the Rock River basin in Jefferson County. All three of these districts are in themselves communities of interest and, if possible, should not be split.  ",,,,Janesville
52,1588,https://districtr.org/plan/30908,plan,,Four State Senate Districts in One CD,"The union of the four state senate districts created in this map are contained in exactly one congressional district CD.  This congressional district in turn is CD 1 created in p1224, “County-preserving CD Maps” (with the other seven congressional districts).  Please see this plan for an explanation of the methodology used.  The goal here was to create four state senate districts in the aforementioned CD 1. The first SD 1 (lower left corner) is the one created in p1488, “Three Assembly Districts in One SD”,  using the WI Constitution’s requirement of 3 assembly districts being wholly contained in a single state senate district.  ",,,,Janesville
53,2402,https://districtr.org/plan/31046,plan,,Compact Assembly Map With Minimal Splits,"This map was constructed by focusing on minimizing county splits, keeping cities and villages intact, and striving for compact districts. Metrics for this map can be found for its twin map at https://davesredistricting.org/join/f4817f72-3993-45a9-946e-8c3bb19fa6b3",,,,River Falls/Pierce
54,1629,https://districtr.org/plan/31051,plan,True,John’s Monona/McFarland plan,"The demographics of the two communities are similar.  The population of the district is within the recommended size.  The area is quite contiguous, and the voter politics is quite bipartisan.",,,1,Monona
55,1738,https://districtr.org/plan/31196,plan,,All 33 State Senate Districts in CDs,"Using a method proposed by Dan Russler (Helenville), we attempt to include 4 senate districts in each of 8 previously created CDs. This will leave one state senate district leftover, call it the 33rd senate district SD 33.  Based on the creation of 8 CDs in plan p1224, “County-preserving CD Maps”, we insert SD 33 at the confluence of 3 CDs, near Wisconsin Dells. Please see this plan for the methodology used to guide creation of CDs. Beginning with our previous CD 1, we try to start fitting 4 SDs in each CD moving counterclockwise through the state.   For an idea of how the required 3 Ads fit in a single SD, see p1488, “Three Assembly Districts in One SD.”   Even though we attempt to stick by the original methodology for creating the CDs (preserving county lines, etc), there are more trade-offs that need to be made to preserve one-person-one-vote ‘roughly same size’ state senate districts.  ",,,,Janesville
56,1650,https://districtr.org/plan/31206,plan,True,Assembly District Whitewater Area,"This is my proposed idea Assembly District for Whitewater, Jefferson and Fort Atkinson. I am keeping these three municipalities intake for common representation. These communities share water shed, educational districts, shopping and healthcare needs. This also keeps the very rural areas connected to the city areas which have common needs for representation. This proposed district also allows this area to be blocked together so the  Assembly Representative an area to actually be able to travel within the district to reach constituents. ",,,1,Whitewater
57,1651,https://districtr.org/plan/31232,plan,True, Assembly District Eastern Walworth Co,This is a compact district that respects county and municipal boundaries as much as possible while balancing population and respecting the congressional boundary proposed in PR28949,,,1,Walworth County
58,1649,https://districtr.org/plan/31235,plan,True,Assembly District - Whitewater Area,"Assembly District takes into account keeping Whitewater, Jefferson, and Ft Atkinson municipalities intact for representation purposes.  These communities share educational, shopping, water management and are similar in interests, community size and other important factors.",,,1,Whitewater
59,1652,https://districtr.org/plan/31244,plan,True,Assembly District Whitewater Area,"This is my proposed Assembly District for Whitewater, Jefferson and Fort Atkinson. I am keeping these three municipalities intake for common representation. These communities share water shed, educational districts, shopping and healthcare needs. This also keeps the very rural areas connected to the city areas which have common needs for representation. This proposed district also allows this area to be blocked together so the Assembly Representative an area to actually be able to travel within the district to reach constituents.",,,1,Whitewater
60,1653,https://districtr.org/plan/31245,plan,True,"Jefferson, Fort Atkinson and Whitewater",This assembly map joins together three major school districts into one assembly district map. These cities are all served by Fort Atkinson journalists.,,,1,Helenville
61,1655,https://districtr.org/plan/31266,plan,True,Senate Walworth+Rural Racine/Kenosha Co,This is a compact district that respects county and municipal boundaries as much as possible while balancing population and respecting the congressional boundary proposed in PR28949,,,1,Walworth County
62,1777,https://districtr.org/plan/31705,plan,,"""Balancing COI and competitive districts","Like the title says, an attempt to balance COI's and existing lines with creation of competitive districts.",,,,
63,1775,https://districtr.org/plan/31710,plan,True,Racine Senate District,"This is a Senate district that encompasses all of Racine county where people share of a variety of issues, customs  with various ethnic backgrounds.",,,1,Racine
64,2222,https://districtr.org/plan/31849,plan,,Milwaukee County deserves representation,"The districts in Milwaukee county currently share representatives with many of it's surrounding counties. Being the suburbs of the largest city in the state, I believe that Milwaukee County deserves to have unique representatives that care primarily about the residents within my county boarders. Within the city of Milwaukee, there are unique concerns regarding housing, transportation, and jobs. Many individuals that work within the city live in the suburbs within the county and they should be represented by elected officials that can hold our county at their highest priority. Please consider county boarders as one of the most important guidelines when creating new districts. ",,,,Milwaukee
65,1824,https://districtr.org/plan/31860,plan,True,Green Bay Area Shopping district,Green Bay area shopping district,,,1,GREEN BAY
66,1918,https://districtr.org/plan/32132,plan,,SE WI Assembly Districts,"This assem bly districts plan set the highest priority on protecting municipal borders, including city, village and town borders. County borders were medium priority, and school district borders were not considered. The methodology included identifying twelve cities with the highest populations and then establishing compact assembly districts centered on their city halls. As additional assembly districts were added to the original twelve assembly districts, increasingly more attention was centered on keeping rural municipalities intact. The impact of this methodology in rural areas was to also keep more school districts intact. ",,,,Helenville
67,2142,https://districtr.org/plan/32560,plan,,Milwaukee County,We should have fair representation in MKE ,,,,
68,2145,https://districtr.org/plan/33004,plan,True,Put Me Back in Iowa County!,"I moved here from Brooklyn, NY, 30 years ago because I wanted to live in a rural community. At that time Barneveld was included in a district that was in the majority in Iowa County. After the 2011 redistricting, my part of Iowa County was gerrymandered into a Dane County district where we have very little representation for our interests as residents in a rural area. Put Barneveld back in Iowa County!",,,1,Barneveld
69,2226,https://districtr.org/plan/33158,plan,True,Preferred AD for Janesville Area,"This assembly district would be the most preferred one containing Janesville and its community. It is already present, differing only by about 300 people, in the state senate district  constructed in the plan p1488, ""Three Assembly Districts in One SD"". This latter state senate district in turn is contained in the CD 1 created in p1224, “County-preserving CD Maps” (with the other seven congressional districts).  Please see this plan for an explanation of the methodology used. ",,,1,Janesville
70,2247,https://districtr.org/plan/33204,plan,,WI Congressional District,"Understanding how the communities engage with one another, redistricting the lines that include cities that interact with one another in the same districts is feasible and allows intersectionality. ",,,,
71,2312,https://districtr.org/plan/33374,plan,,Colin’s Congressional Redistricting Plan,,,,,
72,2398,https://districtr.org/plan/33503,plan,,99 Assembly districts nested in Senate,I used the standard of following existing political borders whenever possible. It still has a Republican lean but it is more balanced because we try to make the seats more compact. We follow the existing numbering,,,,
