,id,link,type,pseudo_coi,title,text,area_text,area_name,num_areas,city
0,2459,https://districtr.org/plan/21348,plan,True,AOTL-Ohio,,,,1,
1,14,https://districtr.org/plan/23484,plan,,County Lines,"Balanced to within 1% population, following county lines where possible",,,,Canton
2,91,https://districtr.org/plan/25183,plan,True,Stark-Mahoning-Trumbull CD Map,"This is a  proposed 3 county Congressional map supported by the Chairman of the Stark County Democratic Party, Sam Ferruccio, and his leadership team that includes two former Stark County Democratic Chairmen and one former Democratic State Central Committee member for State  Senate District 29.",,,1,"Canton, Ohio"
3,302,https://districtr.org/plan/27448,plan,,Realign Ashtabula,Plan realigns Ashtabula County with other Eastgate Council of Governments counties.  No counties are split.  Population is not balanced.  Numbers were arbitrarily used.,,,,
4,2049,https://districtr.org/plan/32763,plan,,Redrawn Old Congressional Districts 15 a,"The new districts should reflect the Employment, Recreation, Entertainment and the fabric of daily life in the Metropolitan Columbus area.   Per the Constitutional Amendment, counties making up the greater Columbus Metro Area should remain intact.  ",,,,Columbus
5,2289,https://districtr.org/plan/33323,plan,,Redrawn Cong Dists 15 and 12,"Redrawn Cong. Districts reflect economic, recreational, social links within the Columbus Metro Area.  Per Constitutional Amendment, Franklin County is divided and surrounding Metro Counties Delaware, Licking, Madison Fairfield and Union are intact.  These districts are more representative of broader community interest than current districts 15 and 12",,,,Columbus
6,330,https://districtr.org/plan/8463,plan,True,downtown college area in Alliance,,,,1,
7,332,https://districtr.org/plan/8477,plan,True,OU College Town,,,,1,
12,596,https://districtr.org/coi/11153,coi,,Downtown Columbus,,"- Lots of artistic spots like the college and the theatre 
- lots of places for people to enjoy a night on the town $",Downtown Columbus,1,
13,609,https://districtr.org/coi/11271,coi,,Reynoldsburg,,Important suburb/exurb for African-American residents displaced by gentrification.,Reynoldsburg,1,
14,1066,https://districtr.org/coi/11279,coi,,Molly's Community,,"Inside of 270. The OSU community. Students have a big impact in my day to day life. Short north businesses has a lot of power in the area. 

Campus is mostly white. Large immigrant student population. 

Weiland Park neighborhood is a mostly black neighborhood.

Two youth shelters. 

Main issues: parking, jobs and gentrification.",Molly's Community,1,
16,1068,https://districtr.org/coi/11410,coi,,Clintonville (Columbus),,"This is the neighborhood of Clintonville - bounded by Morse Road to the north, Hudson Street to the south, I-71 to the east, and the Olentangy River to the west. The neighborhood sits just north of OSU's campus and the Old North neighborhood and just south of Beechwold and Worthington. Similar, bordering communities that could be included in a district with Clintonville are Old North, Beechwold, parts of Upper Arlington to the west of SR315. ",Clintonville (Columbus),1,
18,1049,https://districtr.org/coi/11412,coi,,Copley,,"A little township called Copley. Greater Akron is the area we typically refer to. 
Assets: Small, bumps up against Akron, Centrally located Close to Cleveland, 20 min to each airport, previously a farm land now it is a development. Exurb- newly developed community. Middle-to High income, near RT 18, High Way 21 , and 77 North, it is inside that . Pigeon Creek- further towards Medina not apart of the community. Pakstan is not apart the community. 1 High School, 1 Middle School, 3 Elementary Schools. Issues of Constituents: none, Very neighborhood oriented, only care about their small area. Young people want us to be about the overall community. People have been concerned about the subdivisions in their developments. The young people are recognizing the lack of the diversity and even in the school. The school board is not diverse. The political leadership does not match the changing diversity. ",Community 1,1,
19,1069,https://districtr.org/coi/11414,coi,,German Village and Schumacher Place,,"These are the historic neighborhoods of German Village and Schumacher Place, which were founded by German immigrants early in the 19th century. The neighborhood is bounded by Livingston Ave in the north, Thurman Avenue in the south, S. High St to the west, and Parsons to the east. Other similar communities that could also be included in a district with German Village are Merion Village, Hungarian Village, the Brewery District, downtown Columbus (bounded by I-71 on the east and the Scioto River to the west), and Nationwide Hospital.  The surrounding neighborhoods are slightly more racially and economically diverse than GV and SP, but those areas are starting to get gentrified, so demographics are started to change (especially in areas east of Parsons and into Old Oaks/Old Town East). ",German Village and Schumacher Place,1,
23,638,https://districtr.org/coi/11528,coi,,Reynoldsburg,,Important suburb/exurb for African-American residents displaced by gentrification.,Reynoldsburg,1,
24,1052,https://districtr.org/coi/11639,coi,,Jeniece's Community,,"People she worship with. Mostly black. $20k under income. Anchor churches and community center that support the community.

Arlington Church of God & Joy Park Community is an anchor in the community. People think of Joy Park as the Eastside. 

All the plants are in this area. 

Issues: Healthcare, asthma, jobs",Jeniece's Community,1,
25,1071,https://districtr.org/coi/11684,coi,,Molly Shack - where I grew up,,I grew up on the East side of Columbus and went to school in the near east side. ,Molly Shack - where I grew up,1,
28,2501,https://districtr.org/COI/12002,coi,,Jeniece's_community,,"Predominantly Black community, many influential churches. More renters than owners. Service workers, hairdressers/barbers, grocery clerks, gas station.  Meetings at the Urban League and at local churches, Lawton St community center. Congresswoman Fudge has her office here. Shootings, community violence are the subject of meetings and protests.",West Side,1,
29,2500,https://districtr.org/COI/12004,coi,,OOC.MS.COMM,,,Molly Shack - where I grew up,1,
30,13,https://districtr.org/edit/12006?event=open-maps&p,coi,,Community Plan,Ashtabula area,,Community 1,1,Cincinnati
31,1072,https://districtr.org/coi/12036,coi,,OSU Campus Community,,This is a campus community.,OSU Campus Community,1,
33,1059,https://districtr.org/coi/12164,coi,,Elizabeth's community,,"North college hills. mostly black community. Changing.

Mostly home-owners. 40+ years. Lots of small businesses. Mix of women owned and minority owned. 

Northside is apart of her community too. Younger families in Northside. less children. more renters. high cost for housing. more white homeowners. 

Issues: ",Elizabeth's community,1,
34,2499,https://districtr.org/COI/12165,coi,,Elizabeth's community,,"North college hills. mostly black community. Changing.

Mostly home-owners. 40+ years. Lots of small businesses. Mix of women owned and minority owned. 

Northside is apart of her community too. Younger families in Northside. less children. more renters. high cost for housing. more white homeowners. 

Issues: ",Elizabeth's community,1,
35,2498,https://districtr.org/COI/12273,coi,,OEC,,"Mostly Old White People. Double Income no kids. Mixed Homownership.  Multifamily homes. 

Kroger - Groceries, Giant Eagle Closed

Historic Preservation. 

Walkable. Supportive of local businesses (shops, restaurants, etc.) 

70-71 Boarders the North Portion
Thurman Boarders the South 
High Street Boarders West
East Side is not a  straight line.
",OEC_KS Community ,1,
36,2497,https://districtr.org/COI/12277,coi,,OEC-Chris-FifthByNorthwest,,"A pocket of Columbus smooshed between UA, Grandview, and OSU Campus. A good chunk of residential meshed with retail, restaurants, and small businesses. Fifth By Northwest is a unique place that somewhat blends or gets lumped in with UA and Grandview. People from this area may even erroneously say they're from Grandview, though the school district for this region is Columbus City Schools, excluded from both UA and Grandview. A good chunk of OSU students also live in this area. There are very few distinguishing ""locations"" or community places within Fifth by Northwest, overshadowed by many of the ""amenities"" of its neighbors.

Fifth by Northwest also includes Clinton Township, a small geographic area disconnected from Columbus.

Fifth by Northwest has excellent access to grocery stores thanks to a Kroger on the northwest side and a Giant Eagle on the southeast side.",Fifth By Northwest,1,
37,1076,https://districtr.org/coi/12297,coi,,Clintonville,,"Mostly single-family homes for young families, and duplex apartments for young professionals/graduate students.

Predominately White

Small businesses (especially along N. High St.) are a central feature of the community.

The Park of Roses, Whetstone branch of the Columbus Metropolitan Library, and the Whetstone Recreation Center (all of which are located together) are important and widely-used community resources.

The Clintonville Farmers' Market is a major weekly community event. 

The Clintonville Beechwold Community Resources Center is our local community social services center.

The Kangaroo is a symbol found throughout the community- but you have to be a part of the community to be in on the joke.",Clintonville,1,
38,2496,https://districtr.org/COI/12300,coi,,OEC-Eliza-Clintonville,,"Mostly single-family homes for young families, and duplex apartments for young professionals/graduate students.

Predominately White

Small businesses (especially along N. High St.) are a central feature of the community.

The Park of Roses, Whetstone branch of the Columbus Metropolitan Library, and the Whetstone Recreation Center (all of which are located together) are important and widely-used community resources.

The Clintonville Farmers' Market is a major weekly community event. 

The Clintonville Beechwold Community Resources Center is our local community social services center.

The Kangaroo is a symbol found throughout the community- but you have to be a part of the community to be in on the joke.",Clintonville,1,
39,2495,https://districtr.org/COI/12306,coi,,OEC SoHud,,"On the outer edge of OSU campus housing. Majority young adults and renters. 

Important issues: Community members often discuss cars speeding on Fourth Street and Summit. Also parking, as many buildings house 4-6 roommates each with their own car, so street parking can be scarce. ",OEC-Maggie-SoHud,1,
